Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace de incidencia saliente (Blocks),Adjunto,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Estimacion Fibonacci),Campo personalizado (Estimación Fibonacci),Campo personalizado (Fecha de inicio),Campo personalizado (Priorizacion MoSCoW),Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
ST8.1 No incluir claves JWT directamente en el código.,AR-165,10590,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:06 PM,20/ago/26 10:27 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001q3:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:06 PM,10589,AR-164,T8_H06 Proteger configuración y secretos
ST8.2 Configurar secretos mediante variables de entorno.,AR-166,10591,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:06 PM,20/ago/26 10:27 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001qb:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:06 PM,10589,AR-164,T8_H06 Proteger configuración y secretos
ST8.3 Crear .env para desarrollo.,AR-167,10592,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:06 PM,20/ago/26 10:27 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001qj:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:06 PM,10589,AR-164,T8_H06 Proteger configuración y secretos
ST8.4 Agregar .env al .gitignore.,AR-168,10593,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:06 PM,20/ago/26 10:27 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001qr:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:06 PM,10589,AR-164,T8_H06 Proteger configuración y secretos
ST8.5 Documentar las variables necesarias.,AR-169,10594,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:07 PM,20/ago/26 10:27 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001qz:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:07 PM,10589,AR-164,T8_H06 Proteger configuración y secretos
ST9.1 Login con credenciales correctas.,AR-171,10596,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:08 PM,20/ago/26 10:27 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001rf:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:08 PM,10595,AR-170,T9_H06 Pruebas
ST9.2 Login con contraseña incorrecta.,AR-172,10597,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:27 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001rn:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST9.3 Login con usuario inexistente.,AR-173,10598,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:27 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001rv:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST9.4 Login con cuenta deshabilitada.,AR-174,10599,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:27 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001s3:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST9.5 Login con campos vacíos.,AR-175,10600,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001sb:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST9.6 Verificar generación del JWT.,AR-176,10601,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001sj:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST9.7 Verificar token válido.,AR-177,10602,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001sr:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST9.8 Verificar token expirado.,AR-178,10603,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001sz:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST9.9 Verificar token manipulado.,AR-179,10604,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001t7:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST9.10 Intentar acceder a endpoint protegido sin token.,AR-180,10605,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001tf:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST9.11 Cerrar sesión y volver a acceder a recurso protegido.,AR-181,10606,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:09 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001tn:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:09 PM,10595,AR-170,T9_H06 Pruebas
ST6.10 Implementar el guardado del token según lo decidido en ST6.9,AR-183,10608,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:14 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001tv:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:14 PM,10574,AR-149,T6_H06 Implementar interfaz de inicio de sesión
ST6.11 Interceptar respuestas 401 del backend y redirigir automáticamente a Login (maneja expiración en medio de la sesión),AR-184,10609,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:14 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001u3:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:14 PM,10574,AR-149,T6_H06 Implementar interfaz de inicio de sesión
"ST7.6 Documentar en el README/DoD que el logout es del lado del cliente únicamente — el token no se invalida en backend, se mitiga con expiración corta (CA-09)",AR-185,10610,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:16 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001ub:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:16 PM,10583,AR-158,T7_H06 Implementar cierre de sesión
"ST9.12 Verificar que tras logout, el frontend ya no puede acceder a rutas protegidas por falta de token (no confundir con invalidación real del token en backend)",AR-186,10611,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:17 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001uj:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:17 PM,10595,AR-170,T9_H06 Pruebas
ST1.1 Confirmar que la entidad Rol ya existe (de HU-05),AR-188,10613,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:34 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001uz:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:34 PM,10612,AR-187,T1_HU07 Poblar catálogo de roles
ST1.2 Crear seed/migración con los 4 roles iniciales,AR-189,10614,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:34 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001v7:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:34 PM,10612,AR-187,T1_HU07 Poblar catálogo de roles
ST1.3 Verificar restricción UNIQUE sobre nombre_rol,AR-190,10615,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:34 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001vf:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:34 PM,10612,AR-187,T1_HU07 Poblar catálogo de roles
ST2.1 Verificar/ajustar RolRepository existente (de HU-05),AR-192,10617,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:37 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001vv:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:37 PM,10616,AR-191,T2_HU07 Extender persistencia de roles
ST2.2 Agregar método para listar todos los roles,AR-193,10618,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:37 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001w3:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:37 PM,10616,AR-191,T2_HU07 Extender persistencia de roles
ST2.3 Agregar método de búsqueda de rol por ID (si no existe),AR-194,10619,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:37 PM,20/ago/26 10:29 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001wb:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:38 PM,10616,AR-191,T2_HU07 Extender persistencia de roles
ST3.1 Crear RolService,AR-196,10621,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:42 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001wr:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:42 PM,10620,AR-195,T3_HU07 Implementar lógica de gestión de roles
ST3.2 Obtener roles disponibles.,AR-197,10622,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:42 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001wz:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:42 PM,10620,AR-195,T3_HU07 Implementar lógica de gestión de roles
ST3.3 Validar existencia del usuario.,AR-198,10623,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:42 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001x7:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:42 PM,10620,AR-195,T3_HU07 Implementar lógica de gestión de roles
ST3.4 Validar existencia del rol.,AR-199,10624,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:42 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001xf:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:42 PM,10620,AR-195,T3_HU07 Implementar lógica de gestión de roles
ST3.5 Asignar rol al usuario.,AR-200,10625,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:42 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001xn:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:42 PM,10620,AR-195,T3_HU07 Implementar lógica de gestión de roles
ST3.6 Modificar rol del usuario.,AR-201,10626,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:42 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001xv:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:42 PM,10620,AR-195,T3_HU07 Implementar lógica de gestión de roles
ST3.7 Impedir asignaciones inválidas.,AR-202,10627,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:42 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001y3:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:42 PM,10620,AR-195,T3_HU07 Implementar lógica de gestión de roles
ST3.8 Manejar errores de negocio.,AR-203,10628,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:42 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001yb:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:42 PM,10620,AR-195,T3_HU07 Implementar lógica de gestión de roles
ST4.1 Crear método para asignar rol.,AR-205,10630,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:45 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001yr:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:45 PM,10629,AR-204,T4_HU07 Implementar asignación de rol
ST4.2 Recibir id_usuario.,AR-206,10631,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:45 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001yz:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:45 PM,10629,AR-204,T4_HU07 Implementar asignación de rol
ST4.3 Recibir id_rol.,AR-207,10632,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:45 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001z7:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:45 PM,10629,AR-204,T4_HU07 Implementar asignación de rol
ST4.4 Validar ambos registros.,AR-208,10633,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:45 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001zf:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:45 PM,10629,AR-204,T4_HU07 Implementar asignación de rol
ST4.5 Actualizar usuario.id_rol.,AR-209,10634,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:45 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001zn:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:45 PM,10629,AR-204,T4_HU07 Implementar asignación de rol
ST4.6 Persistir el cambio.,AR-210,10635,Subtask,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,20/ago/26 1:45 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i001zv:,,,,,,Sprint 2,,,,,Por hacer,20/ago/26 1:45 PM,10629,AR-204,T4_HU07 Implementar asignación de rol
