Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace de incidencia saliente (Blocks),Adjunto,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Estimacion Fibonacci),Campo personalizado (Estimación Fibonacci),Campo personalizado (Fecha de inicio),Campo personalizado (Priorizacion MoSCoW),Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
HU-17 Asignar consultorio,AR-20,10445,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,fernando.catari,712020:d7ceaf02-5505-43d3-84ad-65b05b7d1fb2,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:26 PM,27/ago/26 8:12 PM,27/ago/26 8:12 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000uj:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:26 PM,,,
HU-18 Registrar atención sin cita,AR-21,10446,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,fernando.catari,712020:d7ceaf02-5505-43d3-84ad-65b05b7d1fb2,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:26 PM,27/ago/26 8:12 PM,27/ago/26 8:12 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000ur:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:26 PM,,,
HU-19 Crear historia clínica,AR-22,10447,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,LUIS ANDRES MENCHACA RIVERO,712020:e6bf34aa-6443-4e8c-afca-9823b7cb67bd,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:26 PM,27/ago/26 8:12 PM,27/ago/26 8:12 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000uz:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:26 PM,,,
HU-20 Registrar consulta,AR-23,10448,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,LUIS ANDRES MENCHACA RIVERO,712020:e6bf34aa-6443-4e8c-afca-9823b7cb67bd,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:27 PM,27/ago/26 8:12 PM,27/ago/26 8:12 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000v7:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:27 PM,,,
HU-21 Registrar diagnóstico,AR-24,10449,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,diego.coaquira,712020:550ea436-301e-466a-979d-dd61a44653c0,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:27 PM,27/ago/26 8:13 PM,27/ago/26 8:13 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000vf:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:27 PM,,,
HU-22 Registrar tratamiento,AR-25,10450,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,diego.coaquira,712020:550ea436-301e-466a-979d-dd61a44653c0,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:27 PM,27/ago/26 8:13 PM,27/ago/26 8:13 PM,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000vn:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:27 PM,,,
HU-23 Consultar historial médico,AR-26,10451,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:27 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000vv:,,,,,,Sprint 3,,,,,Por hacer,19/ago/26 2:27 PM,,,
HU-24 Subir documento médico,AR-27,10452,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:27 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000w3:,,,,,,Sprint 4,,,,,Por hacer,19/ago/26 2:27 PM,,,
HU-25 Consultar documentos,AR-28,10453,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:27 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000wb:,,,,,,Sprint 4,,,,,Por hacer,19/ago/26 2:27 PM,,,
HU-26 Generar consentimiento,AR-29,10454,Historia,Backlog,AR,ArquitecturaDeSoftware,software,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,Medium,,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,19/ago/26 2:27 PM,20/ago/26 10:28 PM,,,,0,,,alan.maldonado,712020:1386da19-3142-4309-8e92-8c8351624118,,,,,,,,,,,,,,,,,,,0|i000wj:,,,,,,Sprint 4,,,,,Por hacer,19/ago/26 2:27 PM,,,
